State/Territory,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total
Alabama,8932,10961,13022,13979,15742,16695,20606,29274,31073,28313,32660,221257
Alaska,1892,2280,2683,2610,2577,2226,2377,2484,2978,3469,3749,29325
American Samoa,553,110,79,71,40,90,37,19,4,3,7,1013
Arizona,18023,16733,18829,18987,17692,16501,20467,23776,26196,28124,28029,233357
Arkansas,3329,4381,4771,5800,5347,6890,8420,10113,9792,10751,11916,81510
California,140011,146477,164915,173927,177172,187458,222553,250793,275518,278583,274128,2291535
Colorado,10692,12633,14666,15964,16073,15106,16817,17640,17985,20408,21035,179019
Connecticut,9415,10892,11834,11998,11785,11429,11572,13173,14758,15154,15636,137646
Delaware,50612,49894,75455,58211,48293,35063,36513,78657,112988,83918,75665,705269
District of Columbia,2811,3088,3863,4577,4464,4842,4670,4347,4855,4707,4834,47058
Federated States of Micronesia,27,5,4,8,6,5,12,12,10,8,12,109
Florida,60745,64837,68927,73363,74505,77939,85711,98315,130804,132650,131341,999137
Georgia,24386,27447,33615,38861,39229,40434,37731,44017,59675,61252,60258,466905
Guam,1453,748,654,759,612,735,701,852,910,730,864,9018
Hawaii,6806,7230,8287,7828,6997,8996,8971,8030,8282,8838,8963,89228
Idaho,1590,1774,2168,2554,2536,2525,3083,3395,3801,4256,4292,31974
Illinois,31882,32319,32827,33656,34395,36953,44672,52284,62409,66420,79171,506988
Indiana,10549,10477,12279,12146,13094,14320,19095,22722,23748,26160,25790,190380
Iowa,2944,3476,4460,4826,4735,5066,6225,8600,7796,8383,8926,65437
Kansas,4054,4907,5704,6063,5148,4979,6290,7625,7686,8212,8853,69521
Kentucky,5479,5166,5522,6093,6632,7003,9098,10472,12057,13002,13918,94442
Louisiana,8640,9644,10145,9791,10204,11490,14838,20397,19849,18193,17479,150670
Maine,3186,3269,3938,4505,4664,3673,4264,5402,4874,4862,5523,48160
Marshall Islands,6,2,1,1,3,2,2,1,2,3,4,27
Maryland,13244,15751,17530,19842,18693,18191,20646,23244,27232,28172,28348,230893
Massachusetts,14175,17108,18146,19002,18233,20427,22742,24873,28817,30006,32847,246376
Michigan,16431,17125,17175,17011,17988,20074,25078,29794,33114,35901,36612,266303
Minnesota,9395,8865,10090,11951,11878,10968,13500,15256,17594,18686,22461,150644
Mississippi,5997,9033,9200,9488,9704,9034,13525,17598,14864,15416,16399,130258
Missouri,11109,11019,10731,10711,9507,10169,12343,13633,14512,16345,17496,137575
Montana,805,971,1474,1730,1610,1878,2282,2705,3245,3813,3912,24425
Nebraska,2419,2799,4016,4570,3907,3707,4241,5251,6137,7037,8960,53044
Nevada,11162,12052,14351,15833,16323,16780,17680,19005,20254,22509,22815,188764
New Hampshire,1814,2284,2628,2799,2550,2976,3325,3897,4019,4469,4775,35536
New Jersey,28343,29759,32270,36559,37315,40737,39847,41086,57583,57914,68761,470174
New Mexico,2998,3737,4949,5356,5215,5269,6180,6615,6351,6450,7185,60305
New York,94761,95958,102147,109328,107558,120421,121901,151874,166828,174745,178407,1423928
North Carolina,40665,43343,48311,52547,79179,92711,101380,122080,221382,239367,211896,1252861
North Dakota,854,1145,1377,1614,1706,1717,2123,2626,3832,4839,7508,29341
Northern Mariana Islands,221,225,180,287,176,158,159,107,98,90,93,1794
Ohio,98031,91812,82317,77771,94335,122453,135804,138880,189138,203762,211184,1445487
Oklahoma,6816,7267,7106,7867,7221,8958,13403,18136,15991,17714,21723,132202
Oregon,6730,7679,9698,11404,10689,10839,12599,12951,12737,14120,14740,124186
Palau,54,70,28,2,20,45,78,41,50,61,34,483
Pennsylvania,26394,30064,33466,39035,38799,43498,42583,40213,72719,52528,51185,470484
Puerto Rico,5406,5638,5445,6938,7732,8953,10606,12407,15889,15252,19335,113601
Rhode Island,3198,3696,3629,4071,4218,5410,5353,5610,8145,9737,10721,63788
South Carolina,7560,9062,11207,12599,11454,10032,11654,13794,15931,18295,18814,140402
South Dakota,13426,16832,20442,23266,23760,25120,31623,37123,44829,59997,85105,381523
Tennessee,11604,13791,14898,16500,15341,14941,19028,24814,27403,30105,32859,221284
Texas,70401,77592,86544,94429,81671,80344,107906,128063,143648,152682,173093,1196373
U.S. Virgin Islands,390,271,210,288,442,574,594,546,728,642,775,5460
Unknown/Blank,590,3815,6308,7502,307,230,126,1951,3127,4918,2610,31484
Utah,20798,17803,19407,23237,27015,27428,26243,32879,52426,73561,119417,440214
Vermont,867,965,1068,1006,1076,1249,1308,1504,1822,1901,1971,14737
Virginia,31923,45600,52558,62336,102730,117699,93862,104463,163488,188944,155068,1118671
Washington,13266,15323,18352,19009,19461,19668,21708,24892,28609,33371,34438,248097
West Virginia,2532,2786,2652,2904,2981,2992,4735,9004,13314,10640,11259,65799
Wisconsin,7073,6855,8689,10045,10297,11432,14364,16911,18659,20224,21616,146165
Wyoming,679,687,889,877,845,778,1101,1152,1108,1268,1498,10882
